#{"t_start": 1763153681.992262, "env_id": "None"}
r,l,t
-0.502888,20,49.046491
-2.346925,21,49.426133
-7.473207,28,49.681042
-24.37819,52,50.134422
-23.233399,53,50.579527
-14.512323,46,50.971823
1.370985,18,51.141299
-15.288699,44,51.894597
-13.926835,38,52.298798
-6.138089,27,52.559302
7.352316,8,52.624545
-0.539643,23,52.837924
-0.687369,22,53.018861
6.771135,10,53.117572
1.789309,17,53.258185
-2.00408,23,53.463587
9.356165,3,53.507842
-20.564301,43,53.850081
5.86493,12,54.028236
3.726888,14,54.244937
-11.145986,33,54.516214
-12.751367,47,54.92602
-16.456589,43,55.292375
-2.25011,21,55.472497
6.728492,9,55.544576
-3.282042,29,55.78641
7.931406,7,55.853207
8.210591,6,55.919778
-2.20206,25,56.178112
-16.697856,41,56.53856
-12.053868,34,56.845854
7.594715,8,56.927074
-1.102897,19,57.061296
-12.894693,31,57.340741
4.50484,12,57.441448
-11.322242,33,57.725138
-2.937227,23,57.928198
10.0,1,57.928198
0.590569,17,58.178133
10.0,1,58.180143
-0.172142,19,58.495686
-1.739725,23,58.920287
-3.491481,25,59.469791
-2.349225,21,59.740668
3.355067,15,59.86249
-15.145893,38,60.17495
7.08139,8,60.246783
1.23855,20,60.417679
1.828604,18,60.590828
-0.890456,20,60.763222
7.677673,7,60.803216
10.0,1,60.833381
-1.264371,20,60.99985
-8.74049,28,61.232891
10.0,1,61.236938
9.674978,2,61.240654
0.831893,19,61.407697
3.124538,15,61.621248
0.708282,21,62.045679
-16.628328,41,62.642204
-13.581595,40,62.988755
3.928036,14,63.123653
6.849724,9,63.192761
10.0,1,63.193769
-12.469892,32,63.474815
10.0,1,63.508415
-0.47327,18,63.649751
10.0,1,63.649751
4.169954,14,63.783065
10.0,1,63.783065
-2.337975,22,63.990595
10.0,1,63.991595
-11.359244,34,64.269756
-2.00969,21,64.498909
-14.567018,39,65.142072
4.293351,14,65.387875
1.205983,18,65.603086
1.222325,18,65.792779
1.375775,18,65.936316
4.535132,14,66.075788
9.698149,2,66.080652
9.694383,2,66.111573
-1.283535,19,66.284451
6.248371,10,66.356646
7.206585,8,66.425112
2.269685,15,66.559087
0.476424,17,66.699879
9.332887,3,66.736295
-0.208569,20,66.908077
5.148531,11,67.00792
-6.129152,26,67.219668
7.76836,7,67.279643
8.943991,4,67.31978
4.637784,13,67.441224
0.420939,18,67.795606
-3.158816,27,68.221063
0.107215,22,68.617785
7.324571,8,68.740972
3.318325,15,68.916555
-0.080347,18,69.052974
2.379245,15,69.19463
3.399772,14,69.298789
0.868608,16,69.441624
8.992739,4,69.474431
-16.378051,35,69.793259
-1.657457,22,70.004273
6.464136,9,70.084539
-5.613931,24,70.291177
-7.337125,26,70.50401
